Loan Term (months),Default Amount,Servicer Fee,SeniorLoanStatus,OutstandingBalance,Product,TotalInterestPaid,Default - Servicer Definition,Unique ID,Employer,Bucket,MaxArrears,TermOutstanding,APR/Interest Rate,LoanStatus,Start Date,CCJ_LTM,OPB,PurposeOfLoan,Unnamed: 16,DelinquentEver,DelinquentEverDate,BorrowerStatus,Default Date,TotalCapitalPaid,Original Principal Balance,MonthlyPayment,Credit Score,DelinquentAccountStatus,MaxArrearsDate,Seasoning,Currency_Name,Eligibility Flag,Days Past Due,Status of Loan,Country,LTV (for secured products),Currency
36,,1.00,Default,0.00,Neyber Loan,764.47,Non Default,7121,Police Mutual,Great,0,0,4.90,Repaid,2017-06-16,0,0.00,Home Improvements,0,0,, ,,10000.00,"10,000",298.78,502,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,321.80,Non Default,5328,Police Mutual,Good,0,0,4.90,Repaid,2016-11-10,0,0.00,Home Improvements,0,0,, ,,5000.00,"5,000",149.39,424,Closed,,80,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,482.02,Non Default,30090,Police Mutual,Great,0,0,4.90,Repaid,2019-01-08,0,0.00,Other,0,0,, ,,6000.00,"6,000",112.66,507,Closed,,54,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,572.42,Non Default,7447,Police Mutual,Great,0,0,8.90,Repaid,2017-07-18,0,0.00,Car purchase,0,0,, ,,4500.00,"4,500",142.17,509,Closed,,72,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,2239.46,Non Default,32048,Police Mutual,Good,0,0,13.90,Repaid,2019-04-08,0,0.00,Debt Consolidation,0,0,,,,10500.00,"10,500",353.84,402,Closed,,51,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,68.78,Non Default,7039,Police Mutual,Good,0,0,9.90,Repaid,2017-07-03,0,0.00,Wedding loan,0,0,, ,,2500.00,"2,500",80.06,388,Closed,,72,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,226.57,Non Default,7280,Police Mutual,Great,0,0,4.90,Repaid,2017-06-20,0,0.00,Other,0,0,, ,,5000.00,"5,000",149.39,518,Closed,,73,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,2.00,Default,0.00,Neyber Loan,604.90,Non Default,26519,Police Mutual,Great,0,0,4.90,Repaid,2018-07-18,0,0.00,Car purchase,0,0,, ,,8000.00,"8,000",239.03,541,Closed,,60,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,1316.11,Non Default,6395,Police Mutual,Great,0,0,4.90,Repaid,2017-03-06,0,0.00,Debt Consolidation,0,0,, ,,13000.00,"13,000",298.17,490,Closed,,76,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,1.00,Default,0.00,Neyber Loan,528.39,Non Default,29722,Police Mutual,Good,0,0,9.90,Repaid,2018-12-13,0,0.00,Car purchase,0,0,,,,2500.00,"2,500",62.78,367,Closed,,55,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,23.06,1.00,Default,0.00,Neyber Loan,3128.20,Non Default,30556,Police Mutual,Great,4,0,6.90,Repaid,2019-02-01,0,0.00,Debt Consolidation,0,1,2020-12-28,,2022-09-25,20000.00,"20,000",393.11,528,Closed,2022-05-28,53,GBP,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
48,,2.00,Default,0.00,Neyber Loan,364.32,Non Default,30876,Police Mutual,Good,0,0,13.90,Repaid,2019-02-18,0,0.00,Debt Consolidation,0,0,,Cleared Arrears ,,3000.00,"3,000",80.26,409,Closed,,53,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
60,,1.00,Default,0.00,Neyber Loan,1035.25,Non Default,23031,Police Mutual,Great,0,0,4.90,Repaid,2018-02-13,0,0.00,Debt Consolidation,0,0,, ,,14300.00,"14,300",268.51,450,Closed,,65,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,620.04,Non Default,27891,Police Mutual,Great,0,0,4.90,Repaid,2018-09-19,0,0.00,Car purchase,0,0,, ,,8200.00,"8,200",245.0,532,Closed,,58,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
36,,1.00,Default,0.00,Neyber Loan,1764.07,Non Default,28034,Police Mutual,Great,0,0,6.90,Repaid,2018-09-28,0,0.00,Debt Consolidation,0,0,, ,,16600.00,"16,600",510.22,460,Closed,,58,,Ineligible,Error for key 'Days Past Due': 'Snapshot Date',Defaulted,UK,,GBP
